state,code,rate_20,rate_05,median.inc,age21handgunsale,alchohol,amm18,amm21h,assaultlist,college,danger,License,elementary,exparte,felony,gunshow,mentalhealth,microstamp,SYG,opencarryh,permit,universal,waiting,lawtotal,LawRanking,GiffordsGrade,Region
Alabama,AL,23.6,16,44765,0,1,0,0,0,0,1,Yes,0,0,0,0,0,0,Yes,0,0,0,0,10,38,F,South
Alaska,AK,23.5,17.5,73355,0,0,0,0,0,0,0,No,1,0,1,0,0,0,Yes,0,0,0,0,4,41,F,Northwest
Arizona,AZ,16.7,16.1,51492,0,0,0,0,0,0,1,No,0,0,1,0,0,0,Yes,0,0,0,0,11,42,F,Southwest
Arkansas,AR,22.6,15.7,41995,0,0,0,0,0,1,1,No,1,0,1,0,0,0,No,0,0,0,0,11,50,F,South
California,CA,8.5,9.5,64500,1,1,1,1,1,1,1,Yes,0,1,1,1,1,1,No,0,1,1,1,104,1,A,West
Colorado,CO,15.4,11.6,63909,0,0,0,0,0,1,0,No,1,0,1,1,0,0,No,0,0,1,0,30,14,C,West
Connecticut,CT,6,5.3,71346,1,0,1,1,1,0,1,Yes,1,1,1,1,1,0,No,0,1,1,0,89,3,A-,NorthEast
Delaware,DE,14.4,8.8,61255,1,0,0,0,0,0,1,Yes,1,0,1,1,1,0,No,0,0,1,0,39,13,B,NorthEast
Florida,FL,13.7,10,49426,0,0,0,0,0,1,0,No,1,0,1,0,0,0,Yes,1,0,0,0,21,23,F,South
Georgia,GA,17.7,12.1,51244,0,0,0,0,0,0,0,No,0,0,1,0,0,0,Yes,0,0,0,0,6,34,F,South
Hawaii,HI,3.4,2.1,73486,1,1,0,0,0,0,1,Yes,0,1,1,0,0,0,No,0,1,0,1,78,5,A-,Pacific
Idaho,ID,17.6,14.1,48275,0,0,0,0,0,0,0,No,1,0,0,0,0,0,No,0,0,0,0,4,48,F,West
Illinois,IL,14.1,8,59588,0,0,0,0,0,1,1,No,1,1,1,1,1,0,No,0,1,0,1,64,8,B+,Midwest
Indiana,IN,17.3,11.2,50532,0,0,0,0,0,0,0,Yes,1,0,0,0,0,0,Yes,0,0,0,0,12,29,D-,Midwest
Iowa,IA,11.2,6.7,54736,1,0,1,1,0,0,0,No,1,0,1,0,0,0,No,0,0,0,0,25,32,C-,Midwest
Kansas,KS,16.9,9.3,53906,0,1,0,0,0,0,1,No,0,0,1,0,0,0,Yes,0,0,0,0,7,45,F,Midwest
Kentucky,KY,20.1,13,45215,0,0,0,0,0,0,0,No,1,0,1,0,0,0,Yes,0,0,0,0,7,43,F,South
Louisiana,LA,26.3,18.5,45727,0,0,0,0,0,1,0,No,1,0,0,0,0,0,Yes,0,0,0,0,12,32,F,South
Maine,ME,10.4,7.8,51494,0,0,0,0,0,0,1,No,1,0,1,0,0,0,No,0,0,0,0,12,27,F,NorthEast
Maryland,MD,13.5,11.9,75847,1,0,1,1,1,0,1,Yes,1,0,1,0,0,0,No,0,0,0,0,64,7,A-,NorthEast
Massachusetts,MA,3.7,3.4,70628,1,1,1,1,1,1,1,Yes,1,1,1,0,1,0,No,0,1,0,0,100,6,A-,NorthEast
Michigan,MI,14.6,10.8,51084,0,0,0,0,0,0,0,No,1,0,1,0,0,0,Yes,0,0,0,0,21,16,C,Midwest
Minnesota,MN,8.9,7,63488,0,1,0,0,0,0,1,No,1,0,1,0,0,0,No,0,0,0,0,41,18,C+,Midwest
Mississippi,MS,28.6,16,40593,0,0,0,0,0,1,0,No,0,0,1,0,0,0,Yes,0,0,0,0,5,45,F,South
Missouri,MO,23.9,12.9,50238,0,1,0,0,0,0,0,No,0,0,1,0,0,0,Yes,0,0,0,0,7,47,F,Midwest
Montana,MT,20.9,16.9,49509,0,0,0,0,0,0,0,No,1,0,0,0,0,0,Yes,0,0,0,0,4,40,F,West
Nebraska,NE,10.1,7.7,54996,1,0,0,0,0,1,0,No,1,0,1,0,0,0,No,0,0,0,0,22,20,D,Midwest
Nevada,NV,17,16.1,52431,0,0,0,0,0,0,1,No,1,0,1,0,0,0,Yes,0,0,0,0,15,17,D,West
New Hampshire,NH,8.9,6.6,70303,0,0,0,0,0,0,0,Yes,0,0,0,0,0,0,Yes,0,0,0,0,10,26,F,NorthEast
New Jersey,NJ,5,5.2,72222,1,0,0,1,1,1,1,Yes,1,0,0,0,0,0,No,0,1,0,0,67,2,A-,NorthEast
New Mexico,NM,22.7,13.9,45382,0,0,0,0,0,1,0,No,1,0,1,0,0,0,No,0,0,0,0,10,18,F,West
New York,NY,5.3,5.3,60850,1,0,0,1,1,1,1,Yes,1,1,1,1,1,0,No,1,0,1,0,75,4,A-,NorthEast
North Carolina,NC,16,12.8,47830,0,0,0,0,0,1,0,No,1,1,1,0,0,0,Yes,0,0,0,0,30,21,D-,South
North Dakota,ND,13.8,8.8,60557,0,1,0,0,0,0,1,No,1,0,1,0,0,0,No,0,0,0,0,14,37,F,Midwest
Ohio,OH,15.2,9.6,51075,1,1,0,0,0,0,1,No,1,0,0,0,0,0,No,0,0,0,0,16,25,D,Midwest
Oklahoma,OK,20.7,13.2,48568,0,0,0,0,0,0,0,No,0,0,1,0,0,0,Yes,0,0,0,0,9,34,F,South
Oregon,OR,13,10.7,54148,0,0,0,0,0,1,1,No,0,0,1,1,1,0,No,0,0,1,0,35,11,C,West
Pennsylvania,PA,13.6,10.8,55702,0,0,0,0,0,0,1,Yes,1,0,0,0,1,0,Yes,0,0,0,0,36,15,C,NorthEast
Rhode Island,RI,5.1,3.6,58073,1,0,1,1,0,0,1,Yes,0,0,0,1,0,0,No,0,1,1,1,43,9,B+,NorthEast
South Carolina,SC,22,13.8,47238,0,1,0,0,0,1,1,No,1,0,0,0,0,0,Yes,1,0,0,0,12,28,F,South
South Dakota,SD,13.6,10.2,53017,0,0,0,0,0,0,0,No,0,0,0,0,0,0,Yes,0,0,0,0,5,44,F,Midwest
Tennessee,TN,21.3,16,47275,0,0,0,0,0,1,1,No,0,0,1,0,0,0,Yes,0,0,0,0,22,38,D-,South
Texas,TX,14.2,11.1,55653,0,0,0,0,0,1,0,No,1,1,1,0,0,0,Yes,0,0,0,0,18,30,F,South
Utah,UT,13.6,10.1,62912,0,0,0,0,0,0,1,No,0,0,1,0,0,0,Yes,0,0,0,0,11,30,F,West
Vermont,VT,11.6,6.8,56990,0,0,0,0,0,0,0,No,0,0,0,0,0,0,No,0,0,0,0,6,22,F,NorthEast
Virginia,VA,13.4,11.5,66262,0,0,0,0,0,0,1,No,1,0,1,0,0,0,No,0,0,0,0,13,12,D,South
Washington,WA,10.9,8.8,64129,0,0,0,0,0,0,1,Yes,1,1,1,1,1,0,No,0,0,1,0,43,10,B,West
West Virginia,WV,18.1,13.8,42019,1,1,1,1,0,0,1,No,0,1,1,0,0,0,Yes,0,0,0,0,21,36,F,South
Wisconsin,WI,12.2,8.5,55638,0,1,0,0,0,0,1,No,1,0,1,0,0,0,No,0,0,0,0,23,24,C-,Midwest
Wyoming,WY,25.9,13.4,60214,0,0,0,0,0,1,0,No,1,0,1,0,0,0,No,0,0,0,0,9,49,F,West
