Country,Guns_per_100
Afghanistan,12.5
Albania,12
Algeria,2.1
American Samoa,0.7
Andorra,14.1
Angola,11.2
Antigua and Barbuda,5.4
Argentina,7.4
Armenia,6.1
Aruba,2.6
Australia,14.5
Austria,30
Azerbaijan,3.6
Bahamas,18.8
Bahrain,12.8
Bangladesh,0.4
Barbados,3.5
Belarus,6.1
Belgium,12.7
Belize,10
Benin,0.3
Bermuda,4.6
Bhutan,0.8
Bolivia,2
Bosnia and Herzegovina,31.2
Botswana,4.1
Brazil,8.3
British Virgin Islands,0.8
Brunei Darussalam,1.4
Bulgaria,8.4
Burkina Faso,0.9
Burundi,2
Cambodia,4.5
Cameroon,2.1
Canada,34.7
Cape Verde,5.7
Cayman Islands,9.2
Central African Republic,1.8
Chad,1
Channel Islands,14
Chile,12.1
China,3.6
Colombia,10.1
Comoros,1.5
"Congo, Rep.",2.4
Costa Rica,10
Croatia,13.7
Cuba,2.1
Curacao,2.6
Cyprus,34
Czech Republic,12.5
Denmark,9.9
Djibouti,3.1
Dominica,6.2
Dominican Republic,7.4
DR Congo,1.2
Ecuador,2.4
Egypt,4.1
El Salvador,12
United Kingdom,4.6
Equatorial Guinea,12.5
Eritrea,0.4
Estonia,5
Eswatini,4.8
Ethiopia,0.4
Falkland Islands,62.1
Faroe Islands,9.9
Fiji,0.5
Finland,32.4
France,19.6
Guyana,19.6
French Polynesia,2.5
Gabon,3.4
"Gambia, The",6.5
Georgia,10.1
Germany,19.6
Ghana,8
Gibraltar,4.1
Greece,17.6
Greenland,22.3
Grenada,4.6
Guam,11.5
Guatemala,12.1
Guinea,1
Guinea-Bissau,1.5
Guyana,15.8
Haiti,2.6
Holy See,0
Honduras,14.1
Hong Kong,3.6
Hungary,10.5
Iceland,31.7
India,5.3
Indonesia,0
Iran,7.3
Iraq,19.6
Ireland,7.2
Israel,6.7
Italy,14.4
Cote d'Ivoire,4.4
Jamaica,8.8
Japan,0.3
Jordan,18.7
Kazakhstan,2.8
Kenya,1.5
Kiribati,0.8
Kosovo,23.8
Kuwait,16.7
Kyrgyz Republic,2.8
Lao PDR,3
Latvia,10.5
Lebanon,31.9
Lesotho,4.8
Liberia,2.1
Libya,13.3
Liechtenstein,28.8
Lithuania,13.6
Luxembourg,18.9
Macau,3.6
Madagascar,0.7
Malawi,0.3
Malaysia,0.7
Maldives,6.2
Mali,1.1
Malta,28.3
Marshall Islands,0.5
Martinique,8.5
Mauritania,2.8
Mauritius,8.3
Mexico,12.9
Micronesia,0.7
Moldova,3
Monaco,19.6
Mongolia,7.9
Montenegro,39.1
Montserrat,5.4
Morocco,4.8
Mozambique,4.5
Myanmar,1.6
Namibia,15.4
Nauru,0
Nepal,1.5
Netherlands,2.6
New Caledonia,42.5
New Zealand,26.3
Nicaragua,5.2
Niger,0.5
Nigeria,3.2
North Korea,0.3
North Macedonia,29.8
Northern Cyprus,17.4
Northern Ireland,11
Northern Mariana Islands,2.6
Norway,28.8
Oman,16.7
Pakistan,22.3
Palau,0.5
Palestine,1.1
Panama,10.8
Papua New Guinea,1
Paraguay,16.7
Peru,2
Philippines,3.6
Poland,2.5
Portugal,21.3
Puerto Rico,11.5
Qatar,16.7
Romania,2.6
Russian Federation,12.3
Rwanda,0.5
Saint Kitts and Nevis,3.4
Saint Lucia,3.4
Saint Martin,8.5
Saint Vincent and the Grenadines,3.4
Samoa,10.1
San Marino,14.4
Sao Tome and Principe,3.4
Saudi Arabia,16.7
Scotland,5.6
Senegal,2
Serbia,39.1
Seychelles,4.1
Sierra Leone,0.5
Singapore,0.3
Saint Maarten,4.2
Slovakia,6.5
Slovenia,15.6
Solomon Islands,0.2
Somalia,12.4
Somaliland,11.9
South Africa,9.7
South Korea,0.2
South Sudan,9.6
Spain,7.5
Sri Lanka,2.4
Sudan,6.6
Suriname,15.9
Sweden,23.1
Switzerland,27.6
Syrian Arab Republic,8.2
Taiwan,0
Tajikistan,0.4
Tanzania,0.8
Thailand,15.1
Timor-Leste,0.3
Togo,0.8
Tonga,8
Trinidad and Tobago,3.2
Tunisia,1.1
Turkiye,16.5
Turkmenistan,0.4
Turks and Caicos Islands,3.3
Tuvalu,1.2
U.S. Virgin Islands,16.6
Uganda,0.8
Ukraine,9.9
United Arab Emirates,16.7
United States,120.5
Uruguay,34.7
Uzbekistan,0.4
Vanuatu,3.9
"Venezuela, RB",18.5
Viet Nam,1.6
"Yemen, Rep.",52.8
Zambia,0.9
Zimbabwe,2.8
