Rock,Mine,Iron,logIron
Sand,Unmined,0.2,-1.61
Sand,Unmined,0.25,-1.39
Sand,Unmined,0.04,-3.22
Sand,Unmined,0.06,-2.81
Sand,Unmined,1.2,0.18
Sand,Unmined,0.3,-1.2
Sand,Unmined,0.05,-3
Sand,Unmined,0.35,-1.05
Sand,Unmined,0.27,-1.31
Sand,Unmined,0.51,-0.67
Sand,Unmined,0.41,-0.89
Sand,Unmined,0.2,-1.61
Sand,Unmined,0.04,-3.22
Sand,Reclaimed,0.33,-1.11
Sand,Reclaimed,3.2,1.16
Sand,Reclaimed,0.44,-0.82
Sand,Reclaimed,4.5,1.5
Sand,Reclaimed,0.33,-1.11
Sand,Reclaimed,0.38,-0.97
Sand,Reclaimed,1.3,0.26
Sand,Reclaimed,1.2,0.18
Sand,Reclaimed,0.28,-1.27
Sand,Reclaimed,0.28,-1.27
Sand,Reclaimed,0.9,-0.11
Sand,Reclaimed,0.09,-2.41
Sand,Reclaimed,0.22,-1.51
Sand,Abandoned,700,6.55
Sand,Abandoned,25,3.22
Sand,Abandoned,1.5,0.41
Sand,Abandoned,4.8,1.57
Sand,Abandoned,0.42,-0.87
Sand,Abandoned,140,4.94
Sand,Abandoned,1.1,0.1
Sand,Abandoned,1.9,0.64
Sand,Abandoned,0.4,-0.92
Sand,Abandoned,220,5.39
Sand,Abandoned,0.31,-1.17
Sand,Abandoned,4.6,1.53
Sand,Abandoned,1.9,0.64
Lime,Unmined,1.6,0.47
Lime,Unmined,0.32,-1.14
Lime,Unmined,5.6,1.72
Lime,Unmined,0.87,-0.14
Lime,Unmined,2.3,0.83
Lime,Unmined,3.2,1.16
Lime,Unmined,6.6,1.89
Lime,Unmined,9.9,2.29
Lime,Unmined,0.52,-0.65
Lime,Unmined,23,3.14
Lime,Unmined,1.3,0.26
Lime,Unmined,6,1.79
Lime,Unmined,6,1.79
Lime,Reclaimed,0.49,-0.71
Lime,Reclaimed,3,1.1
Lime,Reclaimed,0.05,-3
Lime,Reclaimed,0.95,-0.05
Lime,Reclaimed,0.84,-0.17
Lime,Reclaimed,0.8,-0.22
Lime,Reclaimed,0.39,-0.94
Lime,Reclaimed,1.1,0.1
Lime,Reclaimed,2.8,1.03
Lime,Reclaimed,0.66,-0.42
Lime,Reclaimed,0.71,-0.34
Lime,Reclaimed,0.6,-0.51
Lime,Reclaimed,3.2,1.16
Lime,Abandoned,1.8,0.59
Lime,Abandoned,19,2.94
Lime,Abandoned,8.7,2.16
Lime,Abandoned,0.87,-0.14
Lime,Abandoned,0.94,-0.06
Lime,Abandoned,0.93,-0.07
Lime,Abandoned,1.5,0.41
Lime,Abandoned,1.3,0.26
Lime,Abandoned,12,2.48
Lime,Abandoned,0.6,-0.51
Lime,Abandoned,14,2.64
Lime,Abandoned,0.81,-0.21
Lime,Abandoned,0.98,-0.02
